,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288,0.0027345,2.57925925,0.00131975,0.1705825,3.63204325,6.83880175,14.280558,0.00421175,0.732725578,0,0,0
disable_4_8388608_524288,0.00274125,2.8385155,0.00122125,0.1856025,4.0986845,7.63945,13.741349,0.004229,0.340510453,0,0,0
disable_4_16777216_524288,0.00274825,2.44912975,0.00128025,0.186453,4.8280845,8.003445,13.9525685,0.004747,0.239445542,0,0,0
disable_4_33554432_524288,0.002701,2.08542675,0.00069975,0.2031275,6.527692,9.362086,13.626814,0.005191,0.361610228,0,0,0
disable_4_67108864_524288,0.002728,2.45464175,0.00034525,0.09841825,6.49903675,9.59488475,14.59026,0.00533525,0.547204562,0,0,0
disable_8_4194304_524288,0.00270975,4.00859925,0.0013865,0.077738,1.6901435,6.02009025,14.88342975,0.0032045,0.460378595,0,0,0
disable_8_8388608_524288,0.00578475,2.7081425,0.001281,0.08717175,2.501756,5.56329175,12.7367245,0.004955,0.313541684,0,0,0
disable_8_16777216_524288,0.0027515,2.72929475,0.00126725,0.09270075,2.65638725,5.74824525,12.4642995,0.00480025,0.380967648,0,0,0
disable_8_33554432_524288,0.00270875,2.01736275,0.00066,0.10148025,3.97381125,6.367456,13.51409325,0.00627725,0.370834743,0,0,0
disable_8_67108864_524288,0.002773,1.57061775,0.00033475,0.0495025,4.044166,5.935329,17.88592575,0.00896475,0.438039594,0,0,0
disable_16_4194304_524288,0.00271825,6.86187025,0.00183975,0.03722325,1.168708,8.18989275,12.75285375,0.18301825,0.824143286,0,0,0
disable_16_8388608_524288,0.002701,4.45224425,0.00406975,0.04097525,1.153445,5.78856075,12.76406375,0.00423575,0.765645923,0,0,0
disable_16_16777216_524288,0.0026975,4.394388,0.0013115,0.03928775,1.52931525,6.10483325,12.7147,0.00279125,0.691581589,0,0,0
disable_16_33554432_524288,0.0027325,3.13773925,0.009176,0.04535925,1.7580375,5.08976975,13.54076125,0.00606575,0.483363817,0,0,0
disable_16_67108864_524288,0.00274775,3.12081625,0.00533825,0.023682,1.82865975,5.1510245,13.5393755,0.0084605,0.669955087,0,0,0
disable_32_4194304_524288,0.002728,5.274262,0.0038,0.0205635,0.74275725,6.10769875,12.58111775,0.0027635,1.057693008,0,0,0
disable_32_8388608_524288,0.00274175,4.95831675,0.001703,0.01964525,0.69691025,5.75534525,12.46515375,0.00552975,0.737409378,0,0,0
disable_32_16777216_524288,0.0027235,3.8327565,0.00438675,0.01423325,0.805987,4.7330295,12.70476075,0.00240375,0.571560672,0,0,0
disable_32_33554432_524288,0.00272575,2.52452275,0.00686475,0.0212475,0.98801825,3.64985475,13.53011075,0.01597625,0.510245446,0,0,0
disable_32_67108864_524288,0.00275325,1.98109575,0.00063175,0.011704,1.0006825,3.07051275,14.49114,0.0059455,0.470770795,0,0,0
disable_64_4194304_524288,0.00268325,4.544297,0.0150795,0.009382,0.58075075,5.19623975,13.7660485,0.0076365,0.845403893,0,0,0
disable_64_8388608_524288,0.00274925,3.0451195,0.0093605,0.01457275,0.39685375,3.53470025,14.67893875,0.0508205,0.686787168,0,0,0
disable_64_16777216_524288,0.002678,2.39445125,0.0078115,0.011335,0.33050525,2.993898,15.584465,0.36317475,0.485939088,0,0,0
disable_64_33554432_524288,0.00268,2.2162875,0.00973825,0.01079575,0.6422825,3.0071565,15.59405375,0.4778095,0.638492237,0,0,0
disable_64_67108864_524288,0.0027315,1.8120625,0.010989,0.00567575,0.52864125,2.79503025,15.6103225,0.1396615,0.445412013,0,0,0
