,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync,BW
disable_4_4194304_524288,0.0043355,8.49322725,0.00436325,0.1152215,3.58207775,12.61492125,36.65410025,0.00215125,0.4697803744,0,0,0,665.0541923624
disable_4_8388608_524288,0.00489475,3.33426075,0.0013615,0.1403585,4.6466955,8.6034575,25.709586,0.000839,0.2050465555,0,0,0,954.9487732844
disable_4_16777216_524288,0.00491375,2.5538295,0.0013625,0.1530995,5.36214025,8.59311175,16.37170475,0.00472975,0.1387895773,0,0,0,1312.3186009037
disable_4_33554432_524288,0.004649,1.9021725,0.00069125,0.203693,7.41981725,10.0701775,16.06594225,0.00435675,0.2915407509,0,0,0,1253.5349154787
disable_4_67108864_524288,0.00480575,1.565684,0.00947375,0.09814325,7.303159,9.51677175,16.748447,0.00533925,0.213299871,0,0,0,1247.327902209
disable_8_4194304_524288,0.00318375,9.576681,0.0013345,0.059604,1.94617175,11.799483,32.339706,0.0162665,0.6348683202,0,0,0,742.1053554753
disable_8_8388608_524288,0.00482525,4.8422225,0.0013655,0.0726365,2.4809575,7.64368175,22.14094225,0.008972,0.5694059491,0,0,0,1099.8336689536
disable_8_16777216_524288,0.004936,2.52229475,0.00138,0.084944,2.691846,5.5661715,14.10600975,0.00854175,0.2510310682,0,0,0,1664.9794827152
disable_8_33554432_524288,0.00454725,2.8417225,0.0006825,0.100996,3.673868,6.88872475,14.1662875,0.0180485,0.3703159605,0,0,0,1554.9710784182
disable_8_67108864_524288,0.00456825,2.123585,0.000343,0.0494425,3.72995375,6.17302175,13.45578175,0.05212175,0.3400553336,0,0,0,1664.9623726405
disable_16_4194304_524288,0.00308225,12.5703905,0.0014965,0.02511925,1.05902925,13.7650055,26.54145825,0.0133765,0.8712907682,0,0,0,812.7016326658
disable_16_8388608_524288,0.00391575,5.5513465,0.0013125,0.03498125,1.309821,7.02858475,18.46279175,0.03206375,0.5598139724,0,0,0,1283.8394698771
disable_16_16777216_524288,0.00422975,3.664658,0.00900775,0.04116775,1.282639,5.13448375,11.8865795,0.0877295,0.373275601,0,0,0,1915.2724846702
disable_16_33554432_524288,0.00461275,2.83261675,0.00073,0.04899175,1.88961875,4.908217,13.69981925,0.15089975,0.4569129776,0,0,0,1746.7941678569
disable_16_67108864_524288,0.004441,2.35974575,0.000427,0.023121,1.922805,4.4398095,12.9742315,0.041382,0.4201299872,0,0,0,1877.2389531895
disable_32_4194304_524288,0.00378125,16.0206545,0.00589575,0.00872625,0.8701545,16.96029775,24.793283,0.04044775,3.1950495462,0,0,0,784.0354513803
disable_32_8388608_524288,0.003895,9.144457,0.0033115,0.02219025,0.65684675,9.8990935,15.32954875,0.14015975,2.0170110731,0,0,0,1291.6652508857
disable_32_16777216_524288,0.004152,3.67644875,0.003393,0.01505475,0.762458,4.52878925,11.122588,0.04635575,1.3960195628,0,0,0,2087.4351729642
disable_32_33554432_524288,0.0038575,2.45243,0.00365825,0.02293625,0.9903605,3.5377425,12.30958725,0.05238225,0.7004852072,0,0,0,2060.9178329771
disable_32_67108864_524288,0.00389725,1.64567375,0.00349125,0.0113195,1.01033025,2.737901,13.21003325,0.1330515,0.4850833514,0,0,0,2037.6860292908
disable_64_4194304_524288,0.0030085,19.13953,0.01685675,0.0069485,0.663079,19.85369625,21.97169,0.1837455,6.3529338984,0,0,0,780.0208820074
disable_64_8388608_524288,0.00293525,9.02536475,0.01066625,0.01571375,0.42929775,9.5178175,16.2881825,0.100916,3.5447321888,0,0,0,1264.8359997771
disable_64_16777216_524288,0.00293425,5.69625375,0.00883125,0.00895175,0.360588,6.115871,9.0312205,0.26528825,2.6878285449,0,0,0,2126.083092392
disable_64_33554432_524288,0.0030185,2.24189575,0.0099715,0.0108135,0.51945125,2.8183935,12.58851625,0.24666725,1.2594257311,0,0,0,2093.3234621071
disable_64_67108864_524288,0.00293975,2.01155625,0.0096015,0.00565825,0.536563,2.59812075,12.58348725,0.38709475,0.7268936055,0,0,0,2104.7354122038
enable_4_4194304_524288,0.00272125,2.07648425,0.02384925,0.12795525,4.5843215,7.5801315,79.700396,0.0000215,31.1298870548,2.74535525,26.10184,28.872315,375.4330188734
enable_4_8388608_524288,0.00282175,17.50056975,0.01125125,0.1602895,4.87458075,23.04719925,62.373321,0.020286,27.3827050292,2.62440775,27.5341355,30.1809725,383.5169802134
enable_4_16777216_524288,0.00274075,18.0261535,0.00832775,0.175432,5.197903,23.93895325,61.14874925,0.05106125,25.1960826272,2.61429275,28.358206,30.99487625,384.8775640696
enable_4_33554432_524288,0.00274625,36.80137775,0.00784,0.18383475,7.45531925,44.9919635,27.163187,0.2158285,19.3185710827,2.724488,27.2879945,30.71807825,452.7781778384
enable_4_67108864_524288,0.00270825,24.64736275,0.018647,0.77048325,10.240583,36.218174,47.2534685,0.390076,20.7801681172,2.7480295,26.88050375,29.647606,390.738475029
enable_8_4194304_524288,0.0027405,1.04720075,0.0122955,0.06235225,1.84418225,3.18088,28.0895185,0.00097275,10.6359087542,1.3592655,19.2343595,20.60421075,1047.8593899204
enable_8_8388608_524288,0.002706,0.8373295,0.0233135,0.07663425,2.2451425,3.43008525,27.8071575,0.0015265,9.8548516867,1.3799875,21.63654275,23.0303175,1048.9529769167
enable_8_16777216_524288,0.00269975,1.40273025,0.02946675,0.0773625,2.0994405,3.86454375,27.80014975,0.0048365,9.7994016624,1.4087585,21.135405,22.55659275,1034.6853900263
enable_8_33554432_524288,0.0026985,0.36738375,0.0257275,0.08472775,3.5356145,4.2825035,27.64035825,0.023519,10.6466918724,1.38658425,19.212332,20.60801625,1025.7186958495
enable_8_67108864_524288,0.00276025,0.27571875,0.0203595,0.044513,3.59672425,4.20662275,27.80850075,0.0057355,10.0206765254,1.3852745,20.53939325,21.9347495,1023.3329468145
enable_16_4194304_524288,0.0032995,0.66338225,0.001604,0.02529025,1.33419325,2.13619925,1.36020975,0.000688,0.0803586367,0.719053,17.5530425,18.27784,9370.0575076985
enable_16_8388608_524288,0.00321075,0.423867,0.00145925,0.03702475,1.453072,2.0551685,1.43567325,0.00110275,0.1015529865,0.71147725,18.0252835,18.74245725,9383.8833921902
enable_16_16777216_524288,0.0046575,0.489911,0.00427725,0.03826025,1.40319925,2.07487275,1.292326,0.001555,0.0779537622,0.718001,18.382144,19.10581725,9727.0392648914
enable_16_33554432_524288,0.00340675,0.1287175,0.00505725,0.04371175,1.8938805,2.20907075,1.27731375,0.00120125,0.0268962445,0.71324025,18.92331575,19.64193725,9395.6112763679
enable_16_67108864_524288,0.0027015,0.24898775,0.006817,0.02348875,1.88292775,2.2969385,1.8463435,0.00284775,0.197223581,0.70667125,18.1257805,18.837563,7903.274131737
enable_32_4194304_524288,0.002751,3.07199075,0.00407375,0.02060375,0.91364575,4.06746025,0.83748175,0.000944,0.5180128093,0.3574145,17.79829225,18.158845,6679.3235717259
enable_32_8388608_524288,0.00276175,0.260327,0.00196675,0.0231575,0.75269675,1.1144135,0.8236815,0.001216,0.0848604717,0.36593475,15.7972015,16.16613,16896.7225989024
enable_32_16777216_524288,0.00278625,0.135426,0.00151825,0.02050625,0.776794,1.00943175,3.45899475,0.002001,0.532708345,0.359789,15.963048,16.32591975,7329.947751082
enable_32_33554432_524288,0.0027065,0.0629845,0.0009135,0.02313625,0.98375925,1.14318325,0.83918625,0.001349,0.0698027502,0.3585565,16.098344,16.45981275,16518.4727570973
enable_32_67108864_524288,0.002708,0.0591455,0.00419325,0.01208125,0.99513275,1.14009325,0.850773,0.003317,0.053954635,0.35753875,16.899051,17.2596095,16431.789806679
enable_64_4194304_524288,0.00281725,0.796904,0.01990575,0.00676175,0.68461525,1.5362675,0.76762075,0.000497,0.1226838046,0.182746,16.829863,17.0142105,14219.8445333739
enable_64_8388608_524288,0.00286625,0.12593525,0.0098315,0.018765,0.42171825,0.61478275,0.531425,0.00109025,0.0554602679,0.18254975,16.389987,16.57410175,28561.019020342
enable_64_16777216_524288,0.00287975,0.06514275,0.010003,0.01095325,0.361626,0.493336,0.48693475,0.00108375,0.0533358224,0.18118575,16.1014905,16.28430625,33390.5841365174
enable_64_33554432_524288,0.002855,0.028504,0.00881775,0.01088,0.51546625,0.602212,0.44169225,0.0013055,0.0476052479,0.18291,16.08329875,16.26777875,31350.6451695461
enable_64_67108864_524288,0.00281125,0.0329035,0.010374,0.00570225,0.541691,0.625623,0.45566775,0.00269925,0.0465658664,0.1781855,16.9174825,17.09722075,30229.0611537007
