,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288,0.0043355,8.49322725,0.00436325,0.1152215,3.58207775,12.61492125,36.65410025,0.00215125,0.4697803744,0,0,0
disable_4_8388608_524288,0.00489475,3.33426075,0.0013615,0.1403585,4.6466955,8.6034575,25.709586,0.000839,0.2050465555,0,0,0
disable_4_16777216_524288,0.00491375,2.5538295,0.0013625,0.1530995,5.36214025,8.59311175,16.37170475,0.00472975,0.1387895773,0,0,0
disable_4_33554432_524288,0.004649,1.9021725,0.00069125,0.203693,7.41981725,10.0701775,16.06594225,0.00435675,0.2915407509,0,0,0
disable_4_67108864_524288,0.00480575,1.565684,0.00947375,0.09814325,7.303159,9.51677175,16.748447,0.00533925,0.213299871,0,0,0
disable_8_4194304_524288,0.00318375,9.576681,0.0013345,0.059604,1.94617175,11.799483,32.339706,0.0162665,0.6348683202,0,0,0
disable_8_8388608_524288,0.00482525,4.8422225,0.0013655,0.0726365,2.4809575,7.64368175,22.14094225,0.008972,0.5694059491,0,0,0
disable_8_16777216_524288,0.004936,2.52229475,0.00138,0.084944,2.691846,5.5661715,14.10600975,0.00854175,0.2510310682,0,0,0
disable_8_33554432_524288,0.00454725,2.8417225,0.0006825,0.100996,3.673868,6.88872475,14.1662875,0.0180485,0.3703159605,0,0,0
disable_8_67108864_524288,0.00456825,2.123585,0.000343,0.0494425,3.72995375,6.17302175,13.45578175,0.05212175,0.3400553336,0,0,0
disable_16_4194304_524288,0.00308225,12.5703905,0.0014965,0.02511925,1.05902925,13.7650055,26.54145825,0.0133765,0.8712907682,0,0,0
disable_16_8388608_524288,0.00391575,5.5513465,0.0013125,0.03498125,1.309821,7.02858475,18.46279175,0.03206375,0.5598139724,0,0,0
disable_16_16777216_524288,0.00422975,3.664658,0.00900775,0.04116775,1.282639,5.13448375,11.8865795,0.0877295,0.373275601,0,0,0
disable_16_33554432_524288,0.00461275,2.83261675,0.00073,0.04899175,1.88961875,4.908217,13.69981925,0.15089975,0.4569129776,0,0,0
disable_16_67108864_524288,0.004441,2.35974575,0.000427,0.023121,1.922805,4.4398095,12.9742315,0.041382,0.4201299872,0,0,0
disable_32_4194304_524288,0.00378125,16.0206545,0.00589575,0.00872625,0.8701545,16.96029775,24.793283,0.04044775,3.1950495462,0,0,0
disable_32_8388608_524288,0.003895,9.144457,0.0033115,0.02219025,0.65684675,9.8990935,15.32954875,0.14015975,2.0170110731,0,0,0
disable_32_16777216_524288,0.004152,3.67644875,0.003393,0.01505475,0.762458,4.52878925,11.122588,0.04635575,1.3960195628,0,0,0
disable_32_33554432_524288,0.0038575,2.45243,0.00365825,0.02293625,0.9903605,3.5377425,12.30958725,0.05238225,0.7004852072,0,0,0
disable_32_67108864_524288,0.00389725,1.64567375,0.00349125,0.0113195,1.01033025,2.737901,13.21003325,0.1330515,0.4850833514,0,0,0
disable_64_4194304_524288,0.0030085,19.13953,0.01685675,0.0069485,0.663079,19.85369625,21.97169,0.1837455,6.3529338984,0,0,0
disable_64_8388608_524288,0.00293525,9.02536475,0.01066625,0.01571375,0.42929775,9.5178175,16.2881825,0.100916,3.5447321888,0,0,0
disable_64_16777216_524288,0.00293425,5.69625375,0.00883125,0.00895175,0.360588,6.115871,9.0312205,0.26528825,2.6878285449,0,0,0
disable_64_33554432_524288,0.0030185,2.24189575,0.0099715,0.0108135,0.51945125,2.8183935,12.58851625,0.24666725,1.2594257311,0,0,0
