,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync,BW
disable_4_4194304_524288,0.003724,4.86985,0.0001285,0.00481025,2.731212,7.624439,15.58007125,0.0640095,2.0420245911,0,0,0,1364.2466448688
disable_4_8388608_524288,0.00378225,3.83703675,0.00012925,0.0045,2.662411,6.5152815,13.422007,0.0482885,1.2715607905,0,0,0,1588.3454353107
disable_4_16777216_524288,0.003867,2.6579325,0.0042525,0.00533,2.61718425,5.295587,14.9227615,0.153471,1.0049345322,0,0,0,1558.2309670474
disable_4_33554432_524288,0.00377225,2.278309,0.000137,0.05147775,2.60854325,4.946596,14.5945185,0.148125,0.53660809,0,0,0,1612.2511994432
disable_4_67108864_524288,0.00376725,1.66399275,0.0059555,0.15226675,2.5660065,4.3941925,15.19490925,0.15596275,0.4361810076,0,0,0,1607.6928996611
disable_8_4194304_524288,0.003734,5.89862225,0.0001645,0.00342975,1.737687,7.6497495,11.006274,0.1435315,1.2059664277,0,0,0,1688.55060665
disable_8_8388608_524288,0.0038265,3.50147725,0.0002475,0.002873,2.12112625,5.63269825,10.5594755,0.11536225,0.4899457102,0,0,0,1946.5846955665
disable_8_16777216_524288,0.00374025,2.76480025,0.000502,0.003162,2.1140895,4.88925525,12.851228,0.18211575,0.5760114123,0,0,0,1771.1716922306
disable_8_33554432_524288,0.00380975,2.512678,0.00021975,0.0524085,1.7073565,4.27694475,11.1843685,0.07264175,0.3840963072,0,0,0,2043.5233654275
disable_8_67108864_524288,0.003826,1.49094325,0.00021925,0.11686875,2.034308,3.64594575,11.5595115,0.55831525,0.3558329534,0,0,0,2013.7311674601
disable_16_4194304_524288,0.003811,5.41906425,0.00014975,0.00150075,0.85258625,6.278377,8.05493475,0.198146,0.4255996174,0,0,0,2184.5021020001
disable_16_8388608_524288,0.00386275,3.82963275,0.000216,0.0015455,0.95410425,4.78939625,8.99783975,0.1279455,0.2780895544,0,0,0,2281.2494396857
disable_16_16777216_524288,0.0038375,2.2266345,0.0042815,0.00226825,0.79488075,3.03143775,10.66699075,0.08662575,0.3290950879,0,0,0,2302.7838283625
disable_16_33554432_524288,0.00391225,2.08216975,0.00027125,0.0461335,0.975962,3.107019,9.94855325,0.570569,0.2692174328,0,0,0,2329.639728342
disable_16_67108864_524288,0.00391675,1.73565025,0.000299,0.133235,0.92178125,2.7928395,10.6805615,0.568451,0.3916173928,0,0,0,2260.6704585691
disable_32_4194304_524288,0.003792,6.12168675,0.00425,0.00103025,0.36703125,6.49697575,6.959921,0.27621675,0.2805583735,0,0,0,2311.4933114039
disable_32_8388608_524288,0.00384525,4.2661595,0.000192,0.00065625,0.38550575,4.65447075,8.2919855,0.2514225,0.4189546676,0,0,0,2405.2350079364
disable_32_16777216_524288,0.0039555,3.3391935,0.000269,0.00162825,0.3737975,3.71676575,8.78790475,0.8837735,0.915530024,0,0,0,2370.9999459235
disable_32_33554432_524288,0.0039945,1.80281075,0.000221,0.03811125,0.47860625,2.32157475,9.473157,1.1039915,0.5803907659,0,0,0,2461.0187678847
disable_32_67108864_524288,0.003864,0.0042735,0.00020025,0.094345,0.445398,0.54502025,10.542444,2.1638185,0.9988207773,0,0,0,2395.5416693527
