,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync,BW
disable_4_4194304_524288,0.00206775,6.94579775,0.004094,0.002618,2.870711,9.8394375,33.41735725,0.02970025,0.5567765343,0,0,0,757.0028481169
disable_4_8388608_524288,0.00260725,3.72380325,0.0136285,0.00199725,2.781185,6.52892825,22.159159,0.023775,0.2506897645,0,0,0,1141.2704517277
disable_4_16777216_524288,0.00287,2.16792175,0.00472625,0.00201275,2.7921635,4.97415025,15.141962,0.037083,0.1870686694,0,0,0,1625.9456425402
disable_4_33554432_524288,0.004685,2.05263675,0.00005725,0.0023375,2.8324015,4.89225,15.12852825,0.02863075,0.146748673,0,0,0,1634.362389435
disable_4_67108864_524288,0.00247375,1.4792125,0.020273,0.01424675,2.82743025,4.3440865,14.712093,0.12418425,0.2394437183,0,0,0,1708.413898042
disable_8_4194304_524288,0.003085,10.80159925,0.0000655,0.0010135,1.44981675,12.2612295,28.6291105,0.07050375,0.4187872559,0,0,0,799.9835208473
disable_8_8388608_524288,0.0029115,5.3427185,0.0000435,0.0006705,1.429421,6.77757475,19.70805925,0.06871425,0.2910560243,0,0,0,1233.9975243038
disable_8_16777216_524288,0.0032395,2.905035,0.0045425,0.00093975,1.39550625,4.30992875,12.90579325,0.10773625,0.2163164585,0,0,0,1891.5391792514
disable_8_33554432_524288,0.002836,2.778702,0.00005825,0.00171225,1.4270075,4.209961,12.61478725,0.1772165,0.2208509976,0,0,0,1927.3066661311
disable_8_67108864_524288,0.0027515,1.91826525,0.00008775,0.00653375,1.4583885,3.38477275,12.729692,0.38583225,0.3604464196,0,0,0,1985.9036476737
disable_16_4194304_524288,0.00291575,11.68048,0.000067,0.0006015,0.7185575,12.404461,27.15697625,0.1873,0.7201412789,0,0,0,824.3783895298
disable_16_8388608_524288,0.00283725,4.81484125,0.0000395,0.00043025,0.71952525,5.53742425,18.275033,0.21037325,0.5471637797,0,0,0,1364.0357658936
disable_16_16777216_524288,0.00482075,2.95037225,0.0000525,0.00047325,0.70655125,3.65947725,12.30823875,0.170731,0.29597273,0,0,0,2030.4308091107
disable_16_33554432_524288,0.002562,2.46655925,0.00005475,0.002688,0.73410925,3.204688,12.369466,0.28952875,0.333312249,0,0,0,2065.598544575
disable_16_67108864_524288,0.0028815,1.4123825,0.0000815,0.00842225,0.766675,2.188347,12.45165475,0.4904445,0.4082039985,0,0,0,2165.6995080367
disable_32_4194304_524288,0.0035715,11.04996775,0.00005975,0.00035975,0.4255245,11.47839225,27.93603475,0.45888825,4.9226129659,0,0,0,821.8027468885
disable_32_8388608_524288,0.002609,7.062205,0.00003425,0.00026275,0.393986,7.457893,16.13140725,0.41186025,2.4014304504,0,0,0,1365.26731697
disable_32_16777216_524288,0.0024875,3.8373715,0.0084045,0.00032975,0.367872,4.21504275,10.149259,0.4757365,1.4092423346,0,0,0,2208.0805620565
disable_32_33554432_524288,0.00223425,2.36369875,0.00005275,0.00228125,0.416953,2.78364125,12.1283895,0.4457065,0.8118686924,0,0,0,2133.6476504701
disable_32_67108864_524288,0.0024115,1.1504365,0.00007175,0.00755175,0.40206925,1.5605545,12.4684465,1.087493,0.4309299013,0,0,0,2167.6984094328
disable_64_4194304_524288,0.00289075,15.1049145,0.015119,0.0001775,0.05947925,15.1809255,22.1274905,1.0618275,2.7357064332,0,0,0,853.9951016991
disable_64_8388608_524288,0.00211725,8.351816,0.01757375,0.0001305,0.060967,8.43127675,14.29681525,0.68581975,2.6981759187,0,0,0,1399.5098448255
disable_64_16777216_524288,0.00217775,4.406656,0.01671075,0.0002615,0.08444825,4.50859625,7.907325,1.58301925,1.8020344459,0,0,0,2340.7485730795
disable_64_33554432_524288,0.00233125,1.37538225,0.02460175,0.00487875,0.1119525,1.5171845,11.093833,1.36842425,1.119350284,0,0,0,2344.0134868047
disable_64_67108864_524288,0.001606,0.00297825,0.02670325,0.0153405,0.1352805,0.180577,13.1697815,0.84635275,0.7094997745,0,0,0,2308.1402039504
enable_4_4194304_524288,0.00348975,22.07952125,0.00897475,0.00424675,3.00340225,25.11524425,26.520093,0.10793925,14.2328392251,2.10834575,32.95810025,35.07888975,633.2803451285
enable_4_8388608_524288,0.00259075,21.4936255,0.005112,0.0036635,3.12105225,24.63808875,59.10153275,0.09680025,20.5614444259,28.38490125,44.64916475,73.0471625,390.8563762146
enable_4_16777216_524288,0.00270925,43.4452015,0.00482725,0.00292375,3.00207075,46.46412125,22.6031555,0.2887135,18.8385687598,1.359663,47.796506,49.847983,472.4609926538
enable_4_33554432_524288,0.00183925,32.09003325,0.0000625,0.60666075,2.87439825,35.57618025,26.37153825,1.317488,13.2679531926,1.337237,34.68285425,36.0310855,517.9466220505
enable_4_67108864_524288,0.00203725,22.059028,0.008242,0.0101175,2.9172735,24.99812525,11.20465375,2.6630765,9.3361809512,1.91647,44.554685,46.4823845,843.1050745815
enable_8_4194304_524288,0.00361025,13.65104225,0.00835425,0.00222575,1.71507275,15.386394,29.19766575,0.00575325,13.202546573,0.6951755,85.68827325,86.38929625,734.8763718744
enable_8_8388608_524288,0.00306575,1.25430775,0.009136,0.00195475,1.56303125,2.83611025,36.2614725,0.0177065,11.7942098736,0.75291175,93.245666,94.0050015,837.728689428
enable_8_16777216_524288,0.0032075,1.21524025,0.005486,0.00144325,1.502411,2.72898675,19.19071225,0.0314645,5.744458784,0.658222,90.380731,91.0453645,1492.7682534914
enable_8_33554432_524288,0.002729,0.81914875,0.0000595,0.00510175,1.668104,2.494975,27.1555295,0.04855375,8.7946914664,0.6336295,96.42603575,97.06571225,1103.3346486669
enable_8_67108864_524288,0.00252725,0.80770775,0.0209835,0.0154355,1.7065765,2.55249125,36.25430275,0.12576925,11.6850854655,0.6305145,100.8613605,101.49867525,841.6604832717
enable_16_4194304_524288,0.0064415,0.5177175,0.0039675,0.000781,0.745746,1.272783,5.47528075,0.00832825,0.1385790651,0.30653625,112.8149745,113.1243755,4849.9258183954
enable_16_8388608_524288,0.00383825,0.50485075,0.000048,0.00064575,0.84369325,1.35263675,5.3245525,0.012032,0.1953004504,0.31461875,111.48123,111.79878925,4898.6270262775
enable_16_16777216_524288,0.00463275,0.4048365,0.00004875,0.00055025,0.8634465,1.27100075,5.417797,0.024941,0.1888668796,0.3138575,114.28548775,114.602277,4880.7380239513
enable_16_33554432_524288,0.00281875,0.32392825,0.00815625,0.00306325,0.8293765,1.16592375,5.41644725,0.043164,0.1986915483,0.3131265,111.2552835,111.57140775,4945.7138178276
enable_16_67108864_524288,0.00292075,0.16406825,0.0001115,0.0075,0.938367,1.110792,5.111427,0.0585715,0.1943419955,0.31451075,106.890169,107.20770025,5217.1776785104
enable_32_4194304_524288,0.00506275,0.24531275,0.00007575,0.00038825,0.431282,0.67930875,5.16962375,0.006778,0.1737485991,0.15532075,126.50274275,126.659479,5595.9050571233
enable_32_8388608_524288,0.00518525,0.2566035,0.000039,0.0003065,0.36985125,0.628333,5.418013,0.0155395,0.2160708134,0.1552885,131.67258675,131.82930925,5405.5788417647
enable_32_16777216_524288,0.003398,0.10612825,0.0000525,0.00028875,0.482246,0.589739,5.5664335,0.02115625,0.2206098072,0.15419975,136.088609,136.24420075,5304.5582202501
enable_32_33554432_524288,0.00328225,0.09570725,0.00004925,0.00353375,0.4789945,0.57888225,5.006,0.0334095,0.3093774654,0.1574895,129.2724905,129.43145825,5832.3777863619
enable_32_67108864_524288,0.005226,0.06895825,0.00018225,0.0079995,0.431159,0.5087195,4.99707025,0.084312,0.1544754411,0.15703875,134.634751,134.7932965,5861.7895461384
enable_64_4194304_524288,0.00456825,0.0804655,0.01572075,0.0001225,0.06219275,0.1595285,5.6288735,0.00267375,0.3814571299,0.0776705,141.7571045,141.83546975,5658.3614883642
enable_64_8388608_524288,0.00510625,0.0410185,0.01716475,0.00011,0.063952,0.123052,5.5354695,0.004291,0.5714620476,0.074892,161.91445675,161.99001375,5786.5239225208
enable_64_16777216_524288,0.003869,0.0406335,0.01930425,0.00031525,0.09489925,0.1556335,5.821472,0.0113675,0.4644163396,0.0764665,158.80171475,158.87879725,5471.8456608221
enable_64_33554432_524288,0.00196225,0.0080825,0.02480625,0.00411725,0.11504025,0.1523535,5.2521985,0.0055655,0.4655116673,0.0774775,145.23429625,145.31249175,6056.8000602575
enable_64_67108864_524288,0.00254825,0.001788,0.02659325,0.01593175,0.13388075,0.17844725,5.45366275,0.0168455,0.5876693206,0.07784375,144.00496975,144.0834765,5800.7183805927
