,startup_read,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_read,read,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125825,0.93008975,0.00237624999999,0.03791725,0.36629725,1.45499575,3.549496,0.0048905,0.0625360424255,0.0,0.0,0.0
disable_4_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017075,0.38885275,0.0034355,0.03435925,0.54302975,1.101298,2.1202815,0.00149125,0.035445473445,0.0,0.0,0.0
disable_4_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172375,0.1833435,0.0036865,0.0230765,0.6692605,1.00541575,1.45339575,0.0018205,0.0328166002165,0.0,0.0,0.0
disable_4_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001236,0.1572165,0.0076105,0.02260975,0.9736385,1.3032255,1.24504275,0.00106025,0.0229329867142,0.0,0.0,0.0
disable_4_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163125,0.15937175,0.00795175,0.011622,0.983432,1.30444575,1.6650635,0.00341975,0.0303739441124,0.0,0.0,0.0
disable_8_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107525,1.223946,0.0016265,0.01720225,0.2121675,1.51385525,2.9931365,0.00078475,0.0982873602244,0.0,0.0,0.0
disable_8_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015025,0.6306255,0.002822,0.01762575,0.267168,0.98355225,1.80562125,0.0090445,0.0802931156043,0.0,0.0,0.0
disable_8_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159275,0.275661,0.001611,0.01157925,0.36892325,0.721085,1.0956745,0.0083,0.0319376948451,0.0,0.0,0.0
disable_8_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125775,0.2064915,0.00332125,0.01092275,0.48479575,0.77562375,1.1816195,0.00078275,0.0538895257116,0.0,0.0,0.0
disable_8_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174475,0.14882225,0.00319275,0.0058205,0.49281925,0.72148275,1.31016775,0.00930375,0.078067653304,0.0,0.0,0.0
disable_16_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014995,1.36987375,0.00217400000001,0.01017675,0.09271925,1.50347725,2.77127125,0.00663975,0.227084281418,0.0,0.0,0.0
disable_16_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015035,0.55533275,0.00040425,0.0092715,0.14893925,0.74679,1.6712765,0.0187945,0.0837498698632,0.0,0.0,0.0
disable_16_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150125,0.326352,0.00026225,0.005907,0.18431025,0.54764875,1.33746525,0.01374275,0.0680378804025,0.0,0.0,0.0
disable_16_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001724,0.27640325,0.0083195,0.004906,0.23458925,0.5574605,1.3595705,0.03772075,0.0827529042911,0.0,0.0,0.0
disable_16_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001732,0.108533,0.0108785,0.00262775,0.24798425,0.4035975,1.46804475,0.0572845,0.107242693932,0.0,0.0,0.0
disable_32_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125675,1.87364075,0.000781749999999,0.0043095,0.07507,1.9686935,2.28935925,0.06023475,0.537022442241,0.0,0.0,0.0
disable_32_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00152725,0.78336,0.000912250000001,0.0051745,0.08012225,0.88719525,2.10580525,0.05699325,0.227575771236,0.0,0.0,0.0
disable_32_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00153825,0.326463,0.00118975,0.00324325,0.094622,0.441517,1.47741975,0.0351165,0.100955765497,0.0,0.0,0.0
disable_32_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171725,0.17755325,0.00663275,0.0026,0.12548825,0.32952975,1.10235475,0.04069025,0.0990528463846,0.0,0.0,0.0
disable_32_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150525,0.12283825,0.00748025,0.001256,0.1355885,0.2846605,1.1659005,0.04088375,0.105337476395,0.0,0.0,0.0
disable_64_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078475,0.8903755,0.00172475,0.001446,0.0433445,0.94539,3.1933345,0.0895215,0.717961212495,0.0,0.0,0.0
disable_64_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00175175,0.40366225,0.00185775,0.00273375,0.04666375,0.46532575,2.70405025,0.06881475,0.424152682487,0.0,0.0,0.0
disable_64_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001066,0.29393075,0.00293,0.00161275,0.05258675,0.35993025,1.487415,0.1618175,0.22704320565,0.0,0.0,0.0
disable_64_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000846,0.13866075,0.0057055,0.001252,0.066749,0.22176825,1.3631565,0.20424375,0.15275739876,0.0,0.0,0.0
disable_64_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000922,0.0002905,0.00871175,0.00061875,0.0743125,0.092803,1.138292,0.170455,0.121421210076,0.0,0.0,0.0
enable_4_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000891249999999,0.22140175,0.00162600000001,0.034688,0.46529225,0.84425475,2.97831275,0.00069025,0.0359739262142,0.18010125,2.396387,2.57794375
enable_4_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000789,0.0741405,0.002033,0.03910075,0.567044,0.81601975,2.98771775,0.0004655,0.0222652339773,0.18426775,2.354772,2.54045725
enable_4_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077875,0.07996725,0.000492749999998,0.02397225,0.6337735,0.86492175,3.026433,0.0011645,0.0218708816209,0.19061025,2.34885525,2.540992
enable_4_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008405,0.036034,0.00490275,0.02205525,0.957542,1.1588225,2.94309925,0.00116175,0.0248604565576,0.1765745,2.33044325,2.508431
enable_4_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007695,0.05320725,0.002517,0.01176775,0.9729985,1.17984425,2.9830575,0.0046125,0.0273278434092,0.182131,2.25044075,2.43404325
enable_8_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080825,0.098393,0.00110125,0.01921625,0.24300225,0.4224735,1.6643125,0.00066325,0.0160190594966,0.09929,1.55152025,1.6515625
enable_8_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081525,0.083345,0.001119,0.01853,0.3025315,0.47353575,1.619109,0.00126425,0.0161799678338,0.103665,1.52812,1.63254525
enable_8_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007685,0.11313275,0.00434525,0.01080525,0.3380775,0.5308115,1.6177035,0.00350525,0.0122947557543,0.10113025,1.4758925,1.57774675
enable_8_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008255,0.027738,9.29999999999e-05,0.0115505,0.48912775,0.598514,1.6719935,0.00159175,0.0202452181504,0.1012785,1.52989625,1.63192
enable_8_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000774,0.007938,0.00256075,0.00581575,0.50138025,0.588182,1.638426,0.00097425,0.00839402208934,0.10204225,1.543274,1.646073
enable_16_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007825,0.05679025,0.0009155,0.00993275,0.131922,0.2299025,1.80838125,0.0007345,0.0065218113084,0.04725375,1.95941875,2.0070345
enable_16_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815,0.04333325,0.000411000000003,0.01004375,0.16320125,0.25093525,1.28737025,0.001296,0.00813251049051,0.059078,1.3913745,1.45086025
enable_16_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00097975,0.1114165,0.000252999999999,0.00597225,0.172637,0.32163475,1.57154275,0.0037985,0.0131201090852,0.0533625,1.69043025,1.74418325
enable_16_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007695,0.02011,0.001307,0.005481,0.24943625,0.3101265,1.53087775,0.0027415,0.00773248088888,0.05011075,1.551875,1.60236725
enable_16_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007715,0.01458625,0.0021215,0.00281625,0.2568295,0.31037075,1.707364,0.00451925,0.00707960432722,0.05046375,1.82040025,1.871245
enable_32_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077175,0.03709375,0.001175,0.0034335,0.08354275,0.14101175,1.09213975,0.0010645,0.00356382076934,0.030242,1.087313,1.117759
enable_32_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075875,0.024477,0.00128875,0.00313875,0.09215225,0.13968425,1.38158875,0.00152675,0.00398912618243,0.02867325,1.33342725,1.36231675
enable_32_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000771,0.029285,0.000455,0.00318475,0.09193825,0.14159225,1.07921975,0.00360575,0.00397667226597,0.02855375,1.1605265,1.18928925
enable_32_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007665,0.01283875,0.0003645,0.002783,0.13042525,0.163402,1.14151775,0.002409,0.00342660898531,0.02723375,1.257994,1.28543175
enable_32_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077575,0.0089405,0.00535725,0.00131675,0.1376015,0.1709955,1.07601875,0.00799775,0.00363708989551,0.02872375,1.1326105,1.161542
enable_64_4194304_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007715,0.014164,0.001713,0.003585,0.039552,0.06810675,1.40337975,0.0008275,0.00194825511713,0.01325775,1.43592975,1.44928875
enable_64_8388608_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076075,0.00866275,0.0019175,0.0021215,0.04615475,0.069472,1.7474405,0.00091,0.00226061615745,0.015783,1.78248075,1.79834075
enable_64_16777216_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007505,0.0103545,0.0028405,0.0016205,0.0500055,0.074267,1.3255635,0.003132,0.00256915456424,0.011655,1.5234005,1.53514275
enable_64_33554432_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000787,0.00499575,0.004056,0.00127,0.06798625,0.08793575,1.33805275,0.0033715,0.00164004603009,0.0120085,1.573331,1.58542725
enable_64_67108864_524288_500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076375,0.0003385,0.00724475,0.000649,0.0774375,0.0951025,1.249723,0.00697725,0.00181591547789,0.01222875,1.44694025,1.45925625
