,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288_4,0.0010585,0.88427375,0.0024185,0.0383255,0.3574245,1.40051225,3.55554525,0.000627250000001,0.0739519742009,0.0,0.0,0.0
disable_4_8388608_524288_4,0.00084225,0.363388,0.00224525000001,0.0336325,0.5526585,1.08263875,1.98935125,0.00119125,0.0315144592949,0.0,0.0,0.0
disable_4_16777216_524288_4,0.000837250000001,0.22352,0.0053535,0.02268625,0.61035275,0.989305,1.23914575,0.00221825,0.0508550001288,0.0,0.0,0.0
disable_4_33554432_524288_4,0.000831999999999,0.210412,0.001783,0.02321825,0.9615765,1.3399825,1.17541025,0.0038565,0.0300986053793,0.0,0.0,0.0
disable_4_67108864_524288_4,0.000832499999999,0.1579265,0.0098345,0.011819,0.983319,1.30513925,1.21436425,0.00696125,0.0370600618112,0.0,0.0,0.0
disable_8_4194304_524288_4,0.00083725,1.22724825,0.001409,0.018438,0.18801875,1.49447525,2.9940955,0.00471275,0.10965786984,0.0,0.0,0.0
disable_8_8388608_524288_4,0.00124875,0.55567625,0.0037845,0.01628875,0.2684415,0.91019275,1.82400725,0.012735,0.0671441139228,0.0,0.0,0.0
disable_8_16777216_524288_4,0.000901250000001,0.243989,0.0014875,0.01191075,0.343637,0.66498825,1.1125235,0.004225,0.0480980947814,0.0,0.0,0.0
disable_8_33554432_524288_4,0.00086625,0.25139025,0.00398725,0.01093925,0.480822,0.818165,1.06887125,0.01542475,0.0572403718636,0.0,0.0,0.0
disable_8_67108864_524288_4,0.00107125,0.19083825,0.00824075,0.00546175,0.49373075,0.76943425,1.16533425,0.0230635,0.0664680074753,0.0,0.0,0.0
disable_16_4194304_524288_4,0.000901999999999,1.50404925,0.0021005,0.0105255,0.095634,1.641133,2.657713,0.018645,0.161163902654,0.0,0.0,0.0
disable_16_8388608_524288_4,0.00084375,0.639758,0.000413499999999,0.00717,0.17878125,0.85859975,1.634891,0.023658,0.113106229597,0.0,0.0,0.0
