,startup_read,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_read,read,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
enable_4_4194304_524288_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076225,0.07720225,0.00113075,0.038959,0.40539625,0.64433225,3.3968665,0.0002075,0.017267322722,0.161974,2.284387,2.44763
enable_4_4194304_1048576_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077725,0.10930425,0.00197725,0.03953225,0.377778,0.649161,3.068079,0.000245,0.0108207236787,0.16125175,2.01039475,2.17226075
enable_4_4194304_4194304_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000783,0.119244,0.0018865,0.0423525,0.40558075,0.69235525,3.11223025,0.00031575,0.0240605316296,0.15618325,2.0576525,2.2140135
enable_4_4194304_8388608_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000781,0.15547275,0.002184,0.0403665,0.36665725,0.6847015,2.78479375,0.00044825,0.0235996827516,0.157361,1.783655,1.9411325
enable_4_4194304_16777216_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000981,0.12886975,0.00151,0.040589,0.3868165,0.67650425,2.29451475,0.00036,0.0207482214806,0.2355375,1.28244125,1.51808925
enable_8_4194304_524288_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007785,0.05093875,0.00222025,0.021868,0.19687725,0.33276075,2.123245,0.00032125,0.0137921634388,0.08824475,1.5562245,1.64507875
enable_8_4194304_1048576_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077725,0.05605575,0.00146475,0.02064075,0.21671875,0.356282,2.00735825,0.00033575,0.0145696825886,0.08548825,1.51552825,1.60133025
enable_8_4194304_4194304_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007955,0.08654675,0.0010785,0.0211525,0.2072415,0.377016,1.924866,0.000579,0.0212499725576,0.08394375,1.35709425,1.441123
enable_8_4194304_8388608_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007745,0.11957625,0.00153975,0.02158425,0.19801675,0.40170225,2.2788455,0.00079075,0.0249956592462,0.08185,1.781597,1.86350275
enable_8_4194304_16777216_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080675,0.072402,0.001482,0.02008825,0.19661475,0.35184875,1.79096275,0.0004095,0.00828719556132,0.12165875,1.16964825,1.291363
enable_16_4194304_524288_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007605,0.06919925,0.0014735,0.0077885,0.13794375,0.24588025,2.30329025,0.00093125,0.00832163417865,0.05033025,1.91140675,1.96207625
enable_16_4194304_1048576_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092525,0.05499475,0.000717249999998,0.00832875,0.14292125,0.2372885,2.08052375,0.00075025,0.0102717846358,0.0521445,1.645952,1.6982585
enable_16_4194304_4194304_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008645,0.05887025,0.000696000000003,0.00807125,0.142072,0.23952225,1.692839,0.00061475,0.00811958951661,0.04360375,1.323127,1.36677525
enable_16_4194304_8388608_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077225,0.07783225,0.00142575,0.01126725,0.1131975,0.23403025,1.6548025,0.001047,0.007478378549,0.0457035,1.309731,1.35546325
enable_16_4194304_16777216_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076925,0.071702,0.0010285,0.0075895,0.12772775,0.23827,1.9940915,0.00095275,0.0102233445267,0.0642495,1.44900475,1.51328175
enable_32_4194304_524288_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00079775,0.03613275,0.00107275,0.00486525,0.08672325,0.1445955,2.00425575,0.00110725,0.0039138712023,0.0302515,1.70423725,1.73466575
enable_32_4194304_1048576_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008105,0.051689,0.00143325,0.00496825,0.075453,0.1495845,1.527475,0.00167125,0.0041741177654,0.032508,1.049707,1.08229175
enable_32_4194304_4194304_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076525,0.057476,0.001032,0.00424575,0.0689165,0.14776675,1.57926875,0.00176125,0.00357166274704,0.0290955,1.341893,1.37101325
enable_32_4194304_8388608_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008065,0.0327195,0.00094675,0.00213475,0.09701075,0.148517,1.49921675,0.00090175,0.00410025291005,0.0316465,1.137262,1.16892225
enable_32_4194304_16777216_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000779,0.0353775,0.0011195,0.00439675,0.091484,0.1482605,1.433556,0.00096325,0.00399516386566,0.03943975,1.11070525,1.15015775
enable_64_4194304_524288_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075025,0.01219175,0.00163425,0.0036585,0.04159925,0.0684065,1.84685625,0.0005545,0.00206501686995,0.016645,1.563353,1.5800785
enable_64_4194304_1048576_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485,0.01957475,0.0018495,0.0020875,0.0414435,0.07388975,1.526023,0.00092975,0.00233583637653,0.02426475,1.19285975,1.2171665
enable_64_4194304_4194304_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000961,0.04532625,0.00151,0.00414125,0.036949,0.0970095,1.475151,0.002611,0.0032832320074,0.02110875,1.284515,1.305637
enable_64_4194304_8388608_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000788,0.014543,0.00184375,0.00233475,0.0412695,0.06930475,1.405805,0.00078775,0.00219226488559,0.02304575,1.26814825,1.291201
enable_64_4194304_16777216_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080875,0.00845,0.0017825,0.00186625,0.045017,0.0664335,1.3207355,0.0003675,0.00193878791926,0.02736025,1.074976,1.10234225
