,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,tot,write_std,sync_read,sync_write,sync,non_hid_sync
disable_4_4194304_524288,0.00206775,6.94579775,0.004094,0.002618,2.870711,9.8394375,33.41717075,0.02970025,43.30340475,0.556790641,0,0,0,0.0001865
disable_4_8388608_524288,0.00260725,3.72380325,0.0136285,0.00199725,2.781185,6.52892825,22.15894975,0.023775,28.72269925,0.250685261,0,0,0,0.00020925
disable_4_16777216_524288,0.00284225,2.37022625,0.00890075,0.0020855,2.772333,5.16095875,14.948611,0.04346025,20.16565925,0.18706968,0,0,0,0.0002255
disable_4_33554432_524288,0.004667,2.10870575,5.77E-05,0.00227925,2.833972,4.94977775,15.06387925,0.0356555,20.06370375,0.146748161,0,0,0,0.0002145
disable_4_67108864_524288,0.002468,1.67023575,0.01365925,0.01159375,2.843291,4.541694,14.56503425,0.07331175,19.1907385,0.239441436,0,0,0,0.0002035
disable_8_4194304_524288,0.0028035,10.98762825,6.40E-05,0.001219,1.44382075,12.44147075,28.43713925,0.081985,40.97080725,0.418783304,0,0,0,0.0002275
disable_8_8388608_524288,0.002687,5.45786975,4.25E-05,0.0006445,1.4348175,6.89805375,19.6005305,0.055523,26.56212,0.291059228,0,0,0,0.00027075
disable_8_16777216_524288,0.0027755,3.08342075,5.27E-05,0.00095825,1.4047415,4.49305825,12.756658,0.073901,17.33208525,0.21631715,0,0,0,0.00023375
disable_8_33554432_524288,0.00276625,2.83890125,5.70E-05,0.00202775,1.42658325,4.27006325,12.563978,0.16768575,17.010867,0.220849625,0,0,0,0.00023075
disable_8_67108864_524288,0.0025025,2.180581,9.20E-05,0.006715,1.6460175,3.8349195,12.17412725,0.49106275,16.508525,0.36044873,0,0,0,0.00023525
disable_16_4194304_524288,0.0026205,13.17647175,6.33E-05,0.00067525,0.7193685,13.901334,25.622918,0.22425825,39.7556885,0.720143034,0,0,0,0.00033075
disable_16_8388608_524288,0.00267425,5.687777,3.95E-05,0.00034825,0.71369875,6.40442575,17.3985175,0.21955425,24.0290265,0.547155167,0,0,0,0.00029525
disable_16_16777216_524288,0.00449125,3.44937575,0.00422475,0.0004985,0.6881765,4.144313,11.758644,0.2352975,16.1465085,0.295975517,0,0,0,0.00031425
disable_16_33554432_524288,0.00240525,2.9154265,5.73E-05,0.00238375,0.75919475,3.6783635,11.90274,0.28228475,15.87073125,0.333306004,0,0,0,0.00028
disable_16_67108864_524288,0.00263875,2.2232025,0.0071755,0.01002725,0.73025875,2.97146725,11.57873925,0.579953,15.13764325,0.408195449,0,0,0,0.00028
disable_32_4194304_524288,0.00305025,19.8499735,6.02E-05,0.0003405,0.35787875,20.210664,18.96488175,0.69590475,39.87779475,4.922677035,0,0,0,0.00126075
disable_32_8388608_524288,0.00225225,9.87952,0.00917475,0.0002195,0.301099,10.19144725,13.427207,0.3806495,24.0045335,2.401420322,0,0,0,0.000648
disable_32_16777216_524288,0.00257525,5.65473025,0.017358,0.0003535,0.263414,5.936929,8.22899825,0.671792,14.84316575,1.409251861,0,0,0,0.001818
disable_32_33554432_524288,0.00213625,3.4170235,0.01417925,0.003746,0.33132525,3.76695325,10.84315625,0.74562175,15.362011,0.81187022,0,0,0,0.001435
disable_32_67108864_524288,0.0021145,1.59717325,9.55E-05,0.009046,0.40267275,2.0094135,12.19530525,0.9095285,15.1207405,0.430858748,0,0,0,0.001586
disable_64_4194304_524288,0.002741,21.46483675,0.01508925,0.000181,0.05840525,21.53973725,15.56920875,1.256973,38.3712095,2.73558776,0,0,0,0.00221175
disable_64_8388608_524288,0.0020885,12.26591975,0.017761,0.00012075,0.059646,12.34421775,9.236225,1.82934575,23.4143465,2.698054143,0,0,0,0.00151275
disable_64_16777216_524288,0.00212625,6.8631305,0.01660325,0.000266,0.0820455,6.962557,4.91718275,2.115053,13.99930975,1.801692355,0,0,0,0.0011905
disable_64_33554432_524288,0.0015145,2.80401175,0.02248,0.00452675,0.106047,2.93741075,8.598568,2.440081,13.9813815,1.119090967,0,0,0,0.0019335
disable_64_67108864_524288,0.001485,0.003141,0.027124,0.016057,0.129838,0.176433,12.26489,1.75127875,14.19825275,0.709180217,0,0,0,0.0013525
enable_4_4194304_524288,0.003321,37.12998825,0.004784,0.00326425,3.0370875,40.19377375,9.0176825,0.100393,67.42900275,14.15560005,1.2931225,33.01000975,34.31550575,1.68632275
enable_4_8388608_524288,0.002252,48.65353725,5.12E-05,0.00370125,3.10617575,51.7777525,5.7975805,0.12374075,65.284881,22.16180002,1.31004725,46.9142385,48.23782825,25.333989
enable_4_16777216_524288,0.00250025,43.53915375,0.00482925,0.00317125,2.9981605,46.55464925,6.66607625,0.29038325,55.720581,16.77984319,1.33472175,47.36305825,49.389603,15.82187125
enable_4_33554432_524288,0.00176,37.87449925,0.00844375,0.60960275,2.87719175,41.375053,6.1099035,1.518313,60.65430575,12.79755695,1.33853675,33.88465175,35.2339865,13.5409815
enable_4_67108864_524288,0.00207775,23.61480325,0.00010825,0.00905225,2.92055525,26.5479655,8.83821825,2.808922,49.0475005,9.336609741,1.95617825,46.55084675,48.51818475,0.6703815
enable_8_4194304_524288,0.003538,13.90829625,7.78E-05,0.0023755,1.538811,15.45913175,2.65377825,0.00770225,18.56197125,4.19849451,0.63568675,90.07727725,90.7188215,25.455306
enable_8_8388608_524288,0.00296475,1.3345705,4.77E-05,0.00185275,1.5369835,2.88086175,2.8178175,0.01673975,5.73322525,0.090053484,0.656668,94.8411395,95.5036735,31.708931
enable_8_16777216_524288,0.003049,1.2791805,0.00548075,0.0018175,1.49801775,2.7888845,2.904366,0.032961,7.828956,0.119468327,0.64507425,91.26391075,91.91535775,15.76055375
enable_8_33554432_524288,0.00300275,1.1374805,0.014843,0.0058735,1.49861225,2.65939875,2.82812625,0.06195,5.93841675,0.094529598,0.63661925,95.963166,96.606396,22.5982715
enable_8_67108864_524288,0.00241325,0.9890835,0.00011575,0.00922275,1.484961,2.4849405,2.882307,0.18854975,5.56976875,0.105712217,0.62820775,104.0514978,104.6856935,25.91472525
enable_16_4194304_524288,0.00646825,0.56813325,0.0119655,0.00082725,0.704136,1.289715,1.274305,0.00824175,2.58882575,0.024605127,0.3127945,112.1669998,112.4830695,4.019504
enable_16_8388608_524288,0.00352075,0.6156645,4.00E-05,0.0007995,0.7590795,1.3789075,1.2817425,0.01671625,2.6914565,0.043592306,0.311756,110.8298733,111.1445323,3.869489
enable_16_16777216_524288,0.0045265,0.65168325,0.01589,0.00058675,0.70629075,1.37654775,1.37835975,0.03729725,2.80636175,0.056250409,0.322538,109.1751305,109.5010393,3.83565325
enable_16_33554432_524288,0.0030765,0.46942325,5.65E-05,0.002093,0.75300925,1.22576,1.33412225,0.066146,2.63923425,0.034992682,0.3101445,112.6358158,112.94896,3.9202045
enable_16_67108864_524288,0.00265225,0.3301175,9.40E-05,0.007924,0.774932,1.1138025,1.34701625,0.1152885,2.58868225,0.030990332,0.3065515,108.2760033,108.5854785,3.63206025
enable_32_4194304_524288,0.00482975,0.3747935,0.01161475,0.00031775,0.29393325,0.682802,0.624796,0.008184,1.3282735,0.018516824,0.15936525,131.683495,131.8445955,4.44511775
enable_32_8388608_524288,0.00539675,0.33247775,0.01007675,0.00028525,0.318434,0.662835,0.59743175,0.0164545,1.28970375,0.022402067,0.153775,127.5419148,127.6972073,4.4567195
enable_32_16777216_524288,0.0034325,0.31065625,0.00969825,0.0002555,0.3215585,0.6431385,0.65994475,0.042569,1.4073175,0.025554368,0.156197,135.141107,135.2988238,4.68422525
enable_32_33554432_524288,0.0033695,0.227318,0.02038025,0.00391475,0.33234275,0.584556,0.65064775,0.05997125,1.30715375,0.017940955,0.16086575,127.459286,127.6219285,4.180257
