,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,tot,write_std,sync_read,sync_write,sync,non_hid_sync
disable_4_4194304_524288,0.002738,7.573628,0.008417,0.111431,3.6649015,11.78277175,37.38571375,0.00058825,49.42281425,0.4478868,0,0,0,0.00024925
disable_4_8388608_524288,0.0027355,3.81180925,0.00123625,0.13619025,4.37117425,8.804289,26.53372975,0.003087,35.593929,0.275310355,0,0,0,0.000267
disable_4_16777216_524288,0.002822,2.398619,0.00130475,0.188389,4.63226875,7.74737725,18.37870275,0.00288025,26.48630775,0.210639265,0,0,0,0.00027675
disable_4_33554432_524288,0.002733,2.1451365,0.0006645,0.2081435,7.445542,10.34046075,18.01693625,0.00846375,28.58748275,0.365246509,0,0,0,0.00031125
disable_4_67108864_524288,0.00274225,2.12963125,0.000356,0.1015575,7.3207255,10.09427425,18.04291825,0.0136645,28.36512275,0.346123898,0,0,0,0.00035025
disable_8_4194304_524288,0.002694,10.68895925,0.004741,0.0621795,1.7749555,12.74629475,32.98536825,0.012506,45.8716455,0.829586626,0,0,0,0.0002735
disable_8_8388608_524288,0.00270625,5.885062,0.0012755,0.07209875,2.246307,8.44872175,23.03504875,0.01711175,31.62852075,0.556441516,0,0,0,0.00028925
disable_8_16777216_524288,0.0027215,3.99698075,0.00437275,0.08457525,2.39417325,6.74561125,15.6279565,0.0067285,22.55952975,0.330006354,0,0,0,0.00026725
disable_8_33554432_524288,0.00270025,3.15702175,0.00068325,0.1005805,3.7153125,7.24606925,16.10480575,0.02439675,23.4889435,0.506197551,0,0,0,0.00035425
disable_8_67108864_524288,0.002688,2.76501575,0.008995,0.047592,3.71596025,6.807266,15.5723765,0.02290575,22.5121415,0.399289973,0,0,0,0.00038875
disable_16_4194304_524288,0.0027015,13.12728475,0.0014,0.02947275,1.04148775,14.3081715,27.2899825,0.02933925,41.69623575,0.880365229,0,0,0,0.000287
disable_16_8388608_524288,0.00284575,6.10989125,0.00146975,0.04352875,1.2464115,7.53683525,19.54011525,0.02009675,27.1650785,0.620403335,0,0,0,0.000423
disable_16_16777216_524288,0.002735,4.09224975,0.0013015,0.03495525,1.2871335,5.5529135,13.28073725,0.01881875,18.94620225,0.589482279,0,0,0,0.0003435
disable_16_33554432_524288,0.002775,3.8419045,0.000744,0.04904225,1.8685595,5.89573525,12.39509125,0.0640845,18.4157985,0.42736472,0,0,0,0.00043275
disable_16_67108864_524288,0.002702,2.698573,0.000448,0.02484025,1.9041165,4.76205875,13.0819165,0.04850275,17.95134025,0.449560456,0,0,0,0.00046475
disable_32_4194304_524288,0.00276575,21.09497275,0.012185,0.01326475,0.7494235,21.9250425,19.540944,0.0827215,41.58685675,3.206251881,0,0,0,0.0010965
disable_32_8388608_524288,0.0027015,10.73894375,0.0045085,0.02088575,0.6878835,11.525824,14.13208125,0.1055925,25.800979,2.025318182,0,0,0,0.001114
disable_32_16777216_524288,0.0027065,6.64791225,0.00784475,0.02154375,0.6245315,7.3726795,8.89664375,0.1150645,16.420916,1.478933243,0,0,0,0.0013345
disable_32_33554432_524288,0.002706,4.7118455,0.00087,0.02410125,0.953367,5.75990275,10.796891,0.157686,16.7479985,0.829139673,0,0,0,0.001866
disable_32_67108864_524288,0.0027705,2.43657725,0.00865775,0.011474,0.98337725,3.50724925,12.35361225,0.081366,15.974811,0.459235237,0,0,0,0.00113625
disable_64_4194304_524288,0.002704,27.0223135,0.01729225,0.00934075,0.640617,27.7169535,13.985703,0.1872175,41.9144,6.272290998,0,0,0,0.0024365
disable_64_8388608_524288,0.0026735,15.3371415,0.008987,0.01314125,0.40250375,15.797937,9.618789,0.27324825,25.71537175,3.477942232,0,0,0,0.00202875
disable_64_16777216_524288,0.00273225,8.41125075,0.00761075,0.0083295,0.92417525,9.39102375,6.519813,0.351881,16.2933555,1.489658305,0,0,0,0.002671
disable_64_33554432_524288,0.00266025,5.336337,0.00956325,0.01055175,0.493017,5.8853905,9.46594075,0.4759835,15.8494655,1.279127929,0,0,0,0.00133475
disable_64_67108864_524288,0.002772,2.83309775,0.01027125,0.00529275,0.51405725,3.3966805,11.7667435,0.43611025,15.621843,0.693926947,0,0,0,0.00149975
enable_4_4194304_524288,0.002717,29.94173425,0.0014455,0.123802,4.09192025,34.5905,4.68866325,0.047655,40.59737525,11.71720922,2.770291,20.136194,23.2193965,22.95415575
enable_4_8388608_524288,0.00274925,53.03904775,0.0064845,0.15841475,5.28361,58.991139,4.9580615,0.069729,69.12342675,17.00097113,2.75008275,19.92656825,22.6975905,0.32626175
enable_4_16777216_524288,0.00274725,53.70240775,0.00696125,0.154926,5.27318275,59.66910425,5.33245175,0.14385125,70.2525295,17.19529939,2.79657175,20.75921075,23.5776835,0.66171975
enable_4_33554432_524288,0.00277325,48.7300785,0.00063975,0.186524,7.55828925,57.01631425,5.3991935,0.305866,71.4066515,13.13244407,2.79805025,20.1958985,23.01568575,0.99886825
enable_4_67108864_524288,0.0027545,44.77428975,0.01935925,0.5256985,7.587752,53.44822025,5.2622945,0.55910625,69.4786555,14.26180295,2.76978675,20.37577225,23.16442,4.507795
enable_8_4194304_524288,0.0028255,1.4276565,0.0081875,0.0635305,1.829057,3.556464,2.27999175,0.001276,6.3316285,0.113642196,1.38256075,15.58746,16.97998375,22.89493975
enable_8_8388608_524288,0.0027025,1.18647775,0.001413,0.080769,2.442471,3.96972025,2.50170775,0.00261375,6.62850975,0.087024907,1.39281875,15.758666,17.1642025,17.7896055
enable_8_16777216_524288,0.0027495,1.7394525,0.020184,0.07577225,2.15961025,4.2575465,2.55221825,0.0064415,6.994356,0.157331079,1.3294815,16.1407735,17.483876,17.33301875
enable_8_33554432_524288,0.002782,0.58152175,0.00068325,0.09187275,3.519111,4.46133675,2.415669,0.00455675,6.99629025,0.081663535,1.3950615,15.137521,16.54164425,23.36062625
enable_8_67108864_524288,0.002775,0.47533425,0.0003205,0.04721125,3.52571375,4.31574825,2.45094025,0.008108,6.88605725,0.085654137,1.37637,15.1715975,16.55752575,23.78679875
enable_16_4194304_524288,0.002777,0.80871425,0.01172375,0.0308605,1.06360725,2.02407375,1.151705,0.001177,3.2476325,0.030670409,0.7170575,14.66120075,15.38403675,0.1751455
enable_16_8388608_524288,0.00286925,0.61293225,0.00857325,0.038568,1.32483375,2.1213405,1.2002075,0.00213825,3.39455425,0.041232019,0.70949675,14.46578225,15.1806585,0.02355425
enable_16_16777216_524288,0.00323175,0.59024175,0.007812,0.03926525,1.248232,2.02108475,1.301639,0.0038775,3.42150475,0.058188053,0.710463,15.66494,16.3809505,0.0004815
enable_16_33554432_524288,0.0039215,0.297844,0.00650775,0.044776,1.83242225,2.31796375,1.2218455,0.0038105,3.60949525,0.042217332,0.702091,14.3527645,15.060204,0.0006245
enable_16_67108864_524288,0.00281975,0.653925,0.0201455,0.02130175,1.798632,2.62641325,1.23035375,0.00737625,3.9260975,0.087113088,0.7032835,15.3641625,16.0728575,0.40936725
enable_32_4194304_524288,0.00281475,0.53615625,0.01467075,0.01802775,0.7366545,1.361327,0.55205125,0.001179,3.3945065,0.017910431,0.35125275,14.123283,14.47762,0.257127
enable_32_8388608_524288,0.00696175,0.53396625,0.0067735,0.02024775,0.6137525,1.25110425,0.590047,0.00213125,2.9436335,0.03881598,0.3538945,14.31128825,14.6680155,0.09324575
enable_32_16777216_524288,0.00278225,0.34283025,0.01078575,0.0204885,0.566757,1.0135975,0.63506775,0.00517425,1.7513075,0.022353678,0.35366225,14.5562715,14.91298675,0.0006645
