,startup_read,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_read,read,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003311,0.8731835,0.00296525,0.03910125,0.3774185,1.4110105,3.89594075,0.0048615,0.0598860423601,0.0,0.0,0.0
disable_4_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001338,0.375484,0.00219725,0.033923,0.515891,1.0567135,2.484358,0.00350375,0.0245376764851,0.0,0.0,0.0
disable_4_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001784,0.24421225,0.0054385,0.023367,0.59774375,0.99883025,1.14975,0.0051565,0.0173730920309,0.0,0.0,0.0
disable_4_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149275,0.1631295,0.0018445,0.02260975,0.964817,1.291919,1.26181575,0.00092525,0.0275954233508,0.0,0.0,0.0
disable_4_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014645,0.18452675,0.005737,0.011501,0.96764925,1.3114155,1.20821925,0.01114875,0.035347762736,0.0,0.0,0.0
disable_8_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156625,1.08047525,0.000673749999993,0.017049,0.198013,1.3544795,3.571217,0.00410075,0.0933572917853,0.0,0.0,0.0
disable_8_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001508,0.56722525,0.00360325,0.01696425,0.2631095,0.916913,2.0153275,0.00666025,0.087152113046,0.0,0.0,0.0
disable_8_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159,0.260676,0.0001855,0.01245775,0.343203,0.68053425,1.0438425,0.008897,0.0369966268803,0.0,0.0,0.0
disable_8_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015835,0.208248,0.00300925,0.0112815,0.48267875,0.776295,1.2985115,0.00132575,0.0448566028155,0.0,0.0,0.0
disable_8_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012585,0.171602,0.00676525,0.0055785,0.48656375,0.74211825,1.25207475,0.0231065,0.0863332578984,0.0,0.0,0.0
disable_16_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010715,1.40395975,0.002101,0.0105925,0.0964285,1.54187275,2.64625425,0.0362435,0.147883139909,0.0,0.0,0.0
disable_16_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150175,0.47227025,0.0014225,0.00914275,0.15180375,0.66787425,2.0121235,0.0093805,0.10515418782,0.0,0.0,0.0
disable_16_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001057,0.2563095,0.000258,0.0062525,0.17413775,0.467696,1.04428925,0.037814,0.0569374073727,0.0,0.0,0.0
disable_16_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128525,0.25433775,0.00621725,0.0050715,0.24275025,0.54225725,1.22198175,0.05110175,0.0770670787396,0.0,0.0,0.0
disable_16_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131475,0.2356595,0.013354,0.0026015,0.25011775,0.53584325,0.9109675,0.1170805,0.111529915409,0.0,0.0,0.0
disable_32_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001052,1.4811545,0.000785500000001,0.00308725,0.08048775,1.58032675,2.82380775,0.0609455,0.47361124623,0.0,0.0,0.0
disable_32_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012415,0.685952,0.00142275,0.005194,0.0762035,0.786445,1.5660565,0.07502,0.213466440393,0.0,0.0,0.0
disable_32_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012795,0.304526,0.00046775,0.00327875,0.0961705,0.42078025,0.9755635,0.01100725,0.101876455233,0.0,0.0,0.0
